Data003Freq Data003Mag
0 1.6912866
0.76293945 1.6886591
1.5258789 25.004581
1.52587890625 1.6992694
2.28881835 58.013947
3.0517578 73.341965
3.0517578125 65.106102
3.81469725 94.23214
4.577636699999999 116.14697
4.57763671875 109.32993
5.34057615 134.20323
6.1035156 149.58682
6.103515625 137.47786
6.86645505 162.9711
7.6293945 172.35825
7.62939453125 164.88129
8.392333949999999 188.53371
9.155273399999999 197.04265
9.1552734375 184.3987
9.91821285 202.24448
10.6811523 208.18069
10.68115234375 204.09096
11.44409175 220.1552
12.2070312 224.15347
12.20703125 226.81683
12.96997065 232.0002
13.7329101 238.39262
13.73291015625 237.16211
14.49584955 242.44119
15.258789 248.17209
15.2587890625 238.64417
16.02172845 250.4299
16.7846679 252.26158
16.78466796875 241.91853
17.54760735 259.07944
18.3105468 259.09561
18.310546875 259.2879
19.07348625 259.55594
19.8364257 260.91016
19.83642578125 271.81863
20.59936515 258.75034
21.3623046 264.79822
21.3623046875 263.83273
22.12524405 274.88177
22.8881835 271.79752
22.88818359375 264.1373
23.65112295 273.19894
24.4140624 271.78107
24.4140625 271.31961
25.17700185 275.07983
25.9399413 276.76526
25.93994140625 271.38751
26.70288075 282.26062
27.4658202 285.5484
27.4658203125 275.35257
28.22875965 286.97955
28.9916991 284.55502
28.99169921875 275.63541
29.75463855 282.35547
30.517578 280.67981
30.517578125 279.40634
31.28051745 280.73483
32.0434569 281.32932
32.04345703125 280.15491
32.80639635 282.13812
33.5693358 292.73047
33.5693359375 284.66147
34.33227525 297.18436
35.0952147 291.85043
35.09521484375 287.7037
35.85815415 287.48312
36.62109359999999 289.09274
36.62109375 279.78378
37.38403305 286.7103
38.1469725 286.54987
38.14697265625 284.66647
38.90991195 292.42178
39.6728514 293.01001
39.6728515625 284.13831
40.43579085 290.91635
41.1987303 287.47012
41.19873046875 286.27859
41.96166975 288.17847
42.7246092 289.9552
42.724609375 292.83493
43.48754865 293.90131
44.2504881 297.98172
44.25048828125 290.94995
45.01342755 295.25317
45.776367 292.82687
45.7763671875 290.65375
46.53930645 292.50784
47.3022459 294.81473
47.30224609375 295.00818
48.06518535 290.9715
48.8281248 293.68387
48.828125 294.42209
49.59106425 292.65308
50.3540037 292.01416
50.35400390625 293.16501
51.11694315 296.0162
51.87988259999999 296.8222
51.8798828125 294.931
52.64282205 296.56851
53.4057615 298.95999
53.40576171875 300.00241
54.16870094999999 296.92996
54.9316404 298.69418
54.931640625 292.70242
55.69457985 301.08838
56.45751929999999 299.56845
56.45751953125 294.97366
57.22045875 297.02905
57.9833982 295.78772
57.9833984375 291.2348
58.74633764999999 296.62048
59.5092771 303.39301
59.50927734375 291.73526
60.27221655 304.34955
61.035156 299.93585
61.03515625 296.76935
61.79809545 300.4118
62.5610349 299.29398
62.56103515625 294.49799
63.32397435 299.32947
64.08691379999999 299.40335
64.0869140625 293.17227
64.84985325 301.62357
65.6127927 303.26654
65.61279296875 292.03784
66.37573214999999 300.41739
67.1386716 298.57217
67.138671875 295.82681
67.90161105 297.2883
68.66455049999999 295.86578
68.66455078125 299.93954
69.42748994999999 299.58228
70.1904294 302.02057
70.1904296875 297.62619
70.95336884999999 301.63965
71.71630829999999 302.19284
71.71630859375 295.87921
72.47924775 301.06345
73.24218719999999 299.90546
73.2421875 292.77261
74.00512664999999 297.49734
74.7680661 301.70627
74.76806640625 294.34683
75.53100555 299.50958
76.29394499999999 298.78333
76.2939453125 300.8501
77.05688445 300.52835
77.8198239 305.17789
77.81982421875 297.87845
78.58276334999999 302.93143
79.3457028 299.76736
79.345703125 297.71667
80.10864225 300.04236
80.87158169999999 298.3447
80.87158203125 295.76227
81.63452115 296.4888
82.3974606 296.76721
82.3974609375 293.19321
