Data011Freq Data011Chan2
0 0.00036941504
0.76293945 0.00018555614
1.5258789 1.3801146e-05
1.52587890625 0.00015486304
2.28881835 1.0836839e-05
3.0517578 9.3944245e-06
3.0517578125 9.8267601e-06
3.81469725 8.1855587e-06
4.577636699999999 7.3017882e-06
4.57763671875 7.9023821e-06
5.34057615 6.4499282e-06
6.1035156 5.9511931e-06
6.103515625 6.3855809e-06
6.86645505 5.7635634e-06
7.6293945 5.4520583e-06
7.62939453125 5.5564724e-06
8.392333949999999 5.1492402e-06
9.155273399999999 4.9876207e-06
9.1552734375 5.0746212e-06
9.91821285 4.7401531e-06
10.6811523 4.8100351e-06
10.68115234375 4.7053527e-06
11.44409175 4.952366e-06
12.2070312 4.4195785e-06
12.20703125 4.2587722e-06
12.96997065 4.3111963e-06
13.7329101 4.3998352e-06
13.73291015625 4.3522277e-06
14.49584955 4.3546911e-06
15.258789 4.3653399e-06
15.2587890625 4.183601e-06
16.02172845 4.1342155e-06
16.7846679 4.173974e-06
16.78466796875 4.071911e-06
17.54760735 4.1980193e-06
18.3105468 3.9579995e-06
18.310546875 4.06964e-06
19.07348625 3.9478555e-06
19.8364257 3.8705512e-06
19.83642578125 3.9710185e-06
20.59936515 3.7719153e-06
21.3623046 3.9202218e-06
21.3623046875 3.918854e-06
22.12524405 3.954879e-06
22.8881835 3.8747535e-06
22.88818359375 3.8277758e-06
23.65112295 3.6796341e-06
24.4140624 3.7460734e-06
24.4140625 3.9303923e-06
25.17700185 3.6912406e-06
25.9399413 3.6289507e-06
25.93994140625 3.9160709e-06
26.70288075 3.794268e-06
27.4658202 3.7170114e-06
27.4658203125 3.6624867e-06
28.22875965 3.6331116e-06
28.9916991 3.5976993e-06
28.99169921875 3.6271547e-06
29.75463855 3.7016921e-06
30.517578 3.6539222e-06
30.517578125 3.6017173e-06
31.28051745 3.6926165e-06
32.0434569 3.606626e-06
32.04345703125 3.6218503e-06
32.80639635 3.6267331e-06
33.5693358 3.7556258e-06
33.5693359375 3.7086368e-06
34.33227525 3.646905e-06
35.0952147 3.5718049e-06
35.09521484375 3.5651751e-06
35.85815415 3.5743417e-06
36.62109359999999 3.5118064e-06
36.62109375 3.4156185e-06
37.38403305 3.4397219e-06
38.1469725 3.4806819e-06
38.14697265625 3.4790612e-06
38.90991195 3.4863608e-06
39.6728514 3.582611e-06
39.6728515625 3.5953074e-06
40.43579085 3.5018691e-06
41.1987303 3.3772922e-06
41.19873046875 3.3812053e-06
41.96166975 3.3135868e-06
42.7246092 3.30844e-06
42.724609375 3.3898496e-06
43.48754865 3.3112879e-06
44.2504881 3.3789395e-06
44.25048828125 3.3997785e-06
45.01342755 3.4141506e-06
45.776367 3.4471498e-06
45.7763671875 3.5068329e-06
46.53930645 3.4171776e-06
47.3022459 3.4406544e-06
47.30224609375 5.1617585e-06
48.06518535 3.7963471e-06
48.8281248 1.3755803e-05
48.828125 4.4044526e-05
49.59106425 7.4762727e-05
50.3540037 8.0335732e-05
50.35400390625 6.2217885e-05
51.11694315 1.864576e-05
51.87988259999999 4.1055368e-06
51.8798828125 2.1210379e-05
52.64282205 3.4438524e-06
53.4057615 3.3292076e-06
53.40576171875 3.718746e-06
54.16870094999999 3.3365052e-06
54.9316404 3.3145773e-06
