Data005Freq Data005Mag
0 0.43497038
0.76293945 0.44035387
1.5258789 25.582701
1.52587890625 0.21482423
2.28881835 56.01022
3.0517578 72.986427
3.0517578125 57.505642
3.81469725 91.770149
4.577636699999999 111.76436
4.57763671875 101.72817
5.34057615 131.83392
6.1035156 141.58401
6.103515625 146.27904
6.86645505 162.75977
7.6293945 172.55949
7.62939453125 176.5854
8.392333949999999 181.16765
9.155273399999999 189.61855
9.1552734375 190.67079
9.91821285 205.12241
10.6811523 211.46857
10.68115234375 206.96352
11.44409175 217.96632
12.2070312 222.19746
12.20703125 220.06085
12.96997065 232.50969
13.7329101 238.90291
13.73291015625 232.11021
14.49584955 240.59436
15.258789 246.13139
15.2587890625 239.90204
16.02172845 244.3197
16.7846679 252.05151
16.78466796875 243.80232
17.54760735 252.76083
18.3105468 256.56451
18.310546875 248.58194
19.07348625 264.16565
19.8364257 265.37527
19.83642578125 255.25471
20.59936515 262.54245
21.3623046 260.13766
21.3623046875 260.70096
22.12524405 266.37866
22.8881835 265.5777
22.88818359375 263.81464
23.65112295 271.0723
24.4140624 275.20035
24.4140625 271.76434
25.17700185 276.36737
25.9399413 276.82443
25.93994140625 271.20493
26.70288075 274.85013
27.4658202 278.49652
27.4658203125 279.3353
28.22875965 278.40433
28.9916991 279.32013
28.99169921875 277.93509
29.75463855 280.11157
30.517578 281.74597
30.517578125 273.91519
31.28051745 285.5278
32.0434569 283.85263
32.04345703125 274.97949
32.80639635 281.99536
33.5693358 282.58875
33.5693359375 281.69553
34.33227525 286.64606
35.0952147 282.03549
35.09521484375 284.80215
35.85815415 285.87268
36.62109359999999 281.43417
36.62109375 284.15808
37.38403305 283.55661
38.1469725 291.41318
38.14697265625 285.03561
38.90991195 290.15106
39.6728514 289.30624
39.6728515625 284.54419
40.43579085 291.64401
41.1987303 291.12952
41.19873046875 286.26697
41.96166975 291.57166
42.7246092 293.45248
42.724609375 291.89709
43.48754865 292.22125
44.2504881 289.69098
44.25048828125 293.16516
45.01342755 291.93439
45.776367 297.24332
45.7763671875 289.83307
46.53930645 295.43518
47.3022459 291.47095
47.30224609375 291.96762
48.06518535 290.27216
48.8281248 295.22125
48.828125 289.77557
49.59106425 295.14743
