Data009Freq Data009Chan2
0 8.3923565e-05
0.76293945 4.499784e-05
1.5258789 1.3876308e-05
1.52587890625 2.9432458e-05
2.28881835 1.0979216e-05
3.0517578 9.2695927e-06
3.0517578125 9.2545379e-06
3.81469725 8.0850959e-06
4.577636699999999 7.2527819e-06
4.57763671875 7.1170307e-06
5.34057615 6.7166347e-06
6.1035156 6.144513e-06
6.103515625 5.9887293e-06
6.86645505 5.736676e-06
7.6293945 5.3377353e-06
7.62939453125 4.9805221e-06
8.392333949999999 4.9798418e-06
9.155273399999999 4.7381732e-06
9.1552734375 4.7583731e-06
9.91821285 4.7207059e-06
10.6811523 4.5477791e-06
10.68115234375 4.4856233e-06
11.44409175 4.4081439e-06
12.2070312 4.3746295e-06
12.20703125 4.0007135e-06
12.96997065 4.10032e-06
13.7329101 3.9191e-06
13.73291015625 3.9725819e-06
14.49584955 4.0372879e-06
15.258789 4.005416e-06
15.2587890625 3.7746008e-06
16.02172845 3.8074156e-06
16.7846679 3.7410766e-06
16.78466796875 3.7572499e-06
17.54760735 3.576544e-06
18.3105468 3.5332812e-06
18.310546875 3.6131523e-06
19.07348625 3.5506994e-06
19.8364257 3.4778977e-06
19.83642578125 3.5281487e-06
20.59936515 3.4231161e-06
21.3623046 3.4415229e-06
21.3623046875 3.5072544e-06
22.12524405 3.4104469e-06
22.8881835 3.3876017e-06
22.88818359375 3.3886365e-06
23.65112295 3.3412423e-06
24.4140624 3.4070692e-06
24.4140625 3.3030508e-06
25.17700185 3.3236706e-06
25.9399413 3.2375465e-06
25.93994140625 3.1928246e-06
26.70288075 3.179885e-06
27.4658202 3.2184548e-06
27.4658203125 3.0237197e-06
28.22875965 3.3107922e-06
28.9916991 3.2401501e-06
28.99169921875 3.0424974e-06
29.75463855 3.2263126e-06
30.517578 3.1309712e-06
30.517578125 2.9768155e-06
31.28051745 3.0668989e-06
32.0434569 3.1129357e-06
32.04345703125 2.9702765e-06
32.80639635 2.9553316e-06
33.5693358 2.9051762e-06
33.5693359375 2.949499e-06
34.33227525 2.9919115e-06
35.0952147 2.9556793e-06
35.09521484375 3.0096899e-06
35.85815415 2.9302437e-06
36.62109359999999 2.7816991e-06
36.62109375 2.8824325e-06
37.38403305 2.8391814e-06
38.1469725 2.9954845e-06
38.14697265625 2.8973884e-06
38.90991195 2.9461769e-06
39.6728514 2.7681444e-06
39.6728515625 2.8729953e-06
40.43579085 2.8226611e-06
41.1987303 2.8032821e-06
41.19873046875 2.792186e-06
41.96166975 2.7549374e-06
42.7246092 2.6442199e-06
42.724609375 2.8985946e-06
43.48754865 2.7358383e-06
44.2504881 2.8079444e-06
44.25048828125 2.8809873e-06
45.01342755 2.8345878e-06
45.776367 2.9289724e-06
45.7763671875 2.86001e-06
46.53930645 2.9453154e-06
47.3022459 2.8362808e-06
47.30224609375 2.8576148e-06
48.06518535 2.8288675e-06
48.8281248 4.4084836e-06
48.828125 9.9334484e-06
49.59106425 1.8526747e-05
50.3540037 1.9435309e-05
50.35400390625 1.4085575e-05
51.11694315 5.0300432e-06
51.87988259999999 2.7560022e-06
51.8798828125 5.5933692e-06
52.64282205 2.7294641e-06
53.4057615 2.6329276e-06
53.40576171875 2.8150343e-06
54.16870094999999 2.5963334e-06
54.9316404 2.5687953e-06
54.931640625 2.7031354e-06
55.69457985 2.5889633e-06
56.45751929999999 2.5498525e-06
56.45751953125 2.6801915e-06
57.22045875 2.5307197e-06
57.9833982 2.4880601e-06
57.9833984375 2.724581e-06
58.74633764999999 2.5302736e-06
59.5092771 3.0827039e-06
59.50927734375 3.0742788e-06
